date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-05-29,10.5,5.7,16.6,0,,182,10,,1018.2,
2023-05-30,10.4,5.6,15,0,,74,7.3,,1019.1,
2023-05-31,11.1,5.6,19.2,0,,151,9.2,,1018.5,
2023-06-01,10.7,5.4,17,0,,73,7.6,,1015.7,
2023-06-02,13.2,9,18.2,15.4,,92,10,,1017.5,
2023-06-03,13.6,10.7,16,0.2,,157,9.8,,1020.8,
2023-06-04,12.3,7.8,18.1,0,,163,13.6,,1018.4,
2023-06-05,10.8,6.7,15.7,0,,172,9.7,,1017,
2023-06-06,12.6,6.7,20,0,,158,7.5,,1016.8,
2023-06-07,11.6,8.1,14.3,0,,26,7.5,,1017.1,
2023-06-08,14.3,13,16,7.9,,17,13.1,,1019.8,
2023-06-09,13.1,9.1,16,5.8,,213,12.2,,1022.4,
2023-06-10,9.9,4.5,15.7,0,,168,12.5,,1023.9,
2023-06-11,6.4,1,11.6,0,,177,10.5,,1024,
2023-06-12,4.1,-0.2,10,0,,170,8.1,,1022.2,
2023-06-13,5.1,0.6,11.3,0,,141,8.4,,1021.5,
2023-06-14,7.6,0.6,15,0,,163,8.1,,1019.9,
2023-06-15,10.9,5.4,18.6,0,,190,10.5,,1019.1,
2023-06-16,11.4,7,19.2,0,,158,8.5,,1017.4,
2023-06-17,8.7,4,15,0,,108,5.8,,1014.4,
2023-06-18,12.3,9,16,0.2,,28,9.6,,1015,
2023-06-19,13.4,9.7,19,0.1,,92,8.3,,1016.8,
2023-06-20,12.1,7.5,15.2,0.5,,131,5.4,,1016,
2023-06-21,11.8,8.1,14.7,2.4,,112,6,,1017.7,
2023-06-22,14,11.7,15.6,53.1,,25,12.6,,1017.6,
2023-06-23,15.2,14.2,17,18.2,,338,13.6,,1019.1,
2023-06-24,15.5,13.4,19,3.8,,11,7.1,,1018.8,
2023-06-25,14.5,12.9,16,0.5,,3,7.5,,1019.4,
2023-06-26,13.2,11,15,0,,256,6,,1019.8,
